time,open,high,low,close,tick_volume,spread,real_volume
2023-09-15 16:00:00+00:00,1.06502,1.06676,1.06494,1.06615,4324,6,0
2023-09-15 17:00:00+00:00,1.06618,1.06875,1.06616,1.0664,6003,6,0
2023-09-15 18:00:00+00:00,1.0664,1.06763,1.06616,1.0672,3872,6,0
2023-09-15 19:00:00+00:00,1.0672,1.06799,1.06699,1.0672,2125,6,0
2023-09-15 20:00:00+00:00,1.0672,1.06761,1.06679,1.06715,1954,6,0
2023-09-15 21:00:00+00:00,1.06714,1.06715,1.06603,1.06604,1262,6,0
2023-09-15 22:00:00+00:00,1.06604,1.06634,1.0659399999999999,1.06595,1549,6,0
2023-09-15 23:00:00+00:00,1.06596,1.06625,1.06567,1.06596,1176,6,0
2023-09-18 00:00:00+00:00,1.06582,1.06637,1.06582,1.06624,341,17,0
2023-09-18 01:00:00+00:00,1.06623,1.06688,1.06617,1.06638,565,6,0
2023-09-18 02:00:00+00:00,1.06638,1.06682,1.06622,1.06677,725,6,0
2023-09-18 03:00:00+00:00,1.06677,1.06715,1.0667,1.06712,1072,6,0
2023-09-18 04:00:00+00:00,1.06712,1.06735,1.06608,1.06621,1766,6,0
2023-09-18 05:00:00+00:00,1.06621,1.06682,1.06618,1.06652,1315,6,0
2023-09-18 06:00:00+00:00,1.06651,1.06683,1.06633,1.06639,885,6,0
2023-09-18 07:00:00+00:00,1.06639,1.0669,1.06628,1.06684,733,6,0
2023-09-18 08:00:00+00:00,1.06684,1.06728,1.06679,1.06684,987,6,0
2023-09-18 09:00:00+00:00,1.06689,1.06774,1.06583,1.06583,2493,6,0
2023-09-18 10:00:00+00:00,1.06582,1.06656,1.06576,1.06619,2867,6,0
2023-09-18 11:00:00+00:00,1.06618,1.06653,1.0656,1.06637,2402,6,0
2023-09-18 12:00:00+00:00,1.06637,1.06738,1.06617,1.06725,2030,6,0
2023-09-18 13:00:00+00:00,1.06724,1.06745,1.0667200000000001,1.06676,1814,6,0
2023-09-18 14:00:00+00:00,1.06675,1.067,1.06619,1.06629,1797,6,0
2023-09-18 15:00:00+00:00,1.06629,1.06687,1.06557,1.06565,2999,6,0
2023-09-18 16:00:00+00:00,1.06566,1.06711,1.06544,1.06618,4002,6,0
2023-09-18 17:00:00+00:00,1.06619,1.06753,1.06593,1.06748,3611,6,0
2023-09-18 18:00:00+00:00,1.06748,1.06984,1.06739,1.06937,3307,6,0
2023-09-18 19:00:00+00:00,1.06941,1.06951,1.06841,1.06919,1869,6,0
2023-09-18 20:00:00+00:00,1.06918,1.06977,1.06867,1.06868,1801,6,0
2023-09-18 21:00:00+00:00,1.06868,1.06873,1.0677699999999999,1.06779,1350,6,0
2023-09-18 22:00:00+00:00,1.0678,1.06866,1.06778,1.06864,1513,6,0
2023-09-18 23:00:00+00:00,1.06864,1.06921,1.06859,1.06918,872,6,0
2023-09-19 00:00:00+00:00,1.06834,1.06936,1.06832,1.06915,483,6,0
2023-09-19 01:00:00+00:00,1.06917,1.06929,1.06888,1.06911,1388,6,0
2023-09-19 02:00:00+00:00,1.06911,1.06935,1.06911,1.06917,532,6,0
2023-09-19 03:00:00+00:00,1.06917,1.06962,1.06877,1.06882,1133,6,0
2023-09-19 04:00:00+00:00,1.06882,1.06892,1.06806,1.06834,1189,6,0
2023-09-19 05:00:00+00:00,1.06835,1.06874,1.06819,1.06843,1064,6,0
2023-09-19 06:00:00+00:00,1.06843,1.06853,1.06822,1.06824,673,6,0
2023-09-19 07:00:00+00:00,1.06824,1.06849,1.06786,1.06796,570,6,0
2023-09-19 08:00:00+00:00,1.06797,1.06819,1.06759,1.06792,990,6,0
2023-09-19 09:00:00+00:00,1.0679400000000001,1.06835,1.06759,1.06784,2092,6,0
2023-09-19 10:00:00+00:00,1.06784,1.0695000000000001,1.06748,1.06942,3337,6,0
2023-09-19 11:00:00+00:00,1.0694,1.06941,1.06837,1.06864,2371,6,0
2023-09-19 12:00:00+00:00,1.06861,1.06905,1.06818,1.06887,2107,6,0
2023-09-19 13:00:00+00:00,1.0689,1.07093,1.06864,1.07001,2533,6,0
2023-09-19 14:00:00+00:00,1.07001,1.07095,1.0699,1.07085,2481,6,0
2023-09-19 15:00:00+00:00,1.07085,1.07177,1.06938,1.06993,3867,6,0
2023-09-19 16:00:00+00:00,1.06995,1.0701100000000001,1.06828,1.06913,4600,6,0
2023-09-19 17:00:00+00:00,1.06913,1.06931,1.06821,1.06893,3871,6,0
2023-09-19 18:00:00+00:00,1.06893,1.06925,1.06797,1.06829,2530,6,0
2023-09-19 19:00:00+00:00,1.06828,1.0686,1.0678,1.06844,1857,6,0
2023-09-19 20:00:00+00:00,1.06844,1.06915,1.06819,1.06844,1917,6,0
2023-09-19 21:00:00+00:00,1.06844,1.06851,1.06769,1.06773,1810,6,0
2023-09-19 22:00:00+00:00,1.06773,1.06808,1.06759,1.06802,1616,6,0
2023-09-19 23:00:00+00:00,1.06805,1.0681,1.06782,1.06789,923,6,0
2023-09-20 00:00:00+00:00,1.0678,1.06801,1.06734,1.06784,434,10,0
2023-09-20 01:00:00+00:00,1.06793,1.06827,1.0677699999999999,1.06819,584,6,0
2023-09-20 02:00:00+00:00,1.0682,1.06833,1.06806,1.06812,708,6,0
2023-09-20 03:00:00+00:00,1.06811,1.06857,1.06791,1.06846,1063,6,0
2023-09-20 04:00:00+00:00,1.06846,1.06872,1.06796,1.0686,1660,6,0
2023-09-20 05:00:00+00:00,1.0686,1.06894,1.06824,1.06827,958,6,0
2023-09-20 06:00:00+00:00,1.06827,1.06839,1.06778,1.06792,725,6,0
2023-09-20 07:00:00+00:00,1.06792,1.06808,1.0678,1.06783,594,6,0
2023-09-20 08:00:00+00:00,1.06783,1.06837,1.06781,1.06806,1116,6,0
2023-09-20 09:00:00+00:00,1.06805,1.06926,1.06729,1.06815,3022,6,0
