time,open,high,low,close,tick_volume,spread,real_volume
2023-06-14 17:00:00+00:00,139.516,139.553,139.31,139.403,4164,9,0
2023-06-14 18:00:00+00:00,139.403,139.474,139.28,139.334,3230,9,0
2023-06-14 19:00:00+00:00,139.332,139.396,139.314,139.355,2376,9,0
2023-06-14 20:00:00+00:00,139.353,139.441,139.332,139.411,2739,9,0
2023-06-14 21:00:00+00:00,139.412,140.171,139.4,139.704,11244,9,0
2023-06-14 22:00:00+00:00,139.705,139.999,139.606,139.94,5974,9,0
2023-06-14 23:00:00+00:00,139.942,140.123,139.902,140.084,2353,9,0
2023-06-15 00:00:00+00:00,140.042,140.046,139.973,140.03,379,14,0
2023-06-15 01:00:00+00:00,140.025,140.101,139.974,140.024,1557,9,0
2023-06-15 02:00:00+00:00,140.024,140.082,139.949,139.962,1692,9,0
2023-06-15 03:00:00+00:00,139.963,140.382,139.938,140.361,3348,9,0
2023-06-15 04:00:00+00:00,140.359,141.036,140.356,141.004,4994,9,0
2023-06-15 05:00:00+00:00,141.008,141.078,140.796,141.045,4617,9,0
2023-06-15 06:00:00+00:00,141.045,141.083,140.941,141.072,3021,9,0
2023-06-15 07:00:00+00:00,141.072,141.322,141.067,141.267,2672,9,0
2023-06-15 08:00:00+00:00,141.269,141.424,141.121,141.207,3223,9,0
2023-06-15 09:00:00+00:00,141.213,141.406,141.15,141.306,3895,9,0
2023-06-15 10:00:00+00:00,141.304,141.499,141.242,141.268,4854,9,0
2023-06-15 11:00:00+00:00,141.271,141.345,141.135,141.265,3359,9,0
2023-06-15 12:00:00+00:00,141.266,141.273,140.847,141.01,4138,9,0
2023-06-15 13:00:00+00:00,141.009,141.189,140.997,141.146,3542,9,0
2023-06-15 14:00:00+00:00,141.146,141.247,141.08,141.245,3021,9,0
2023-06-15 15:00:00+00:00,141.245,141.296,140.652,140.7,7738,9,0
2023-06-15 16:00:00+00:00,140.701,140.746,140.338,140.42,7703,9,0
2023-06-15 17:00:00+00:00,140.42,140.515,140.151,140.448,5596,9,0
2023-06-15 18:00:00+00:00,140.45,140.657,140.418,140.492,4207,9,0
2023-06-15 19:00:00+00:00,140.493,140.495,140.276,140.313,2637,9,0
2023-06-15 20:00:00+00:00,140.313,140.372,140.229,140.333,2457,9,0
2023-06-15 21:00:00+00:00,140.333,140.345,140.258,140.332,1870,9,0
2023-06-15 22:00:00+00:00,140.332,140.344,140.223,140.262,2354,9,0
2023-06-15 23:00:00+00:00,140.262,140.296,140.225,140.267,925,9,0
2023-06-16 00:00:00+00:00,140.255,140.284,140.226,140.274,505,17,0
2023-06-16 01:00:00+00:00,140.265,140.267,140.128,140.132,1153,9,0
2023-06-16 02:00:00+00:00,140.132,140.269,140.084,140.262,1684,9,0
2023-06-16 03:00:00+00:00,140.261,140.287,139.998,140.153,3420,9,0
2023-06-16 04:00:00+00:00,140.15,140.166,139.85,139.959,3288,9,0
2023-06-16 05:00:00+00:00,139.96,140.772,139.893,140.68,4699,9,0
2023-06-16 06:00:00+00:00,140.682,140.694,140.217,140.523,4176,9,0
2023-06-16 07:00:00+00:00,140.524,140.734,140.464,140.624,3207,9,0
2023-06-16 08:00:00+00:00,140.624,140.801,140.613,140.713,2847,9,0
2023-06-16 09:00:00+00:00,140.712,140.974,140.64,140.97,5205,9,0
2023-06-16 10:00:00+00:00,140.971,141.401,140.823,141.136,6851,9,0
2023-06-16 11:00:00+00:00,141.136,141.334,140.936,141.031,5629,9,0
2023-06-16 12:00:00+00:00,141.03,141.064,140.869,140.955,4193,9,0
2023-06-16 13:00:00+00:00,140.954,141.025,140.786,140.935,3559,9,0
2023-06-16 14:00:00+00:00,140.93,141.037,140.811,140.966,3768,9,0
2023-06-16 15:00:00+00:00,140.967,141.311,140.929,141.288,5266,9,0
2023-06-16 16:00:00+00:00,141.286,141.436,141.191,141.246,5790,9,0
2023-06-16 17:00:00+00:00,141.22,141.564,140.911,141.492,8289,9,0
2023-06-16 18:00:00+00:00,141.494,141.872,141.397,141.82,5335,9,0
2023-06-16 19:00:00+00:00,141.821,141.863,141.755,141.849,2852,9,0
2023-06-16 20:00:00+00:00,141.85,141.856,141.663,141.781,2404,9,0
2023-06-16 21:00:00+00:00,141.782,141.884,141.76,141.79,2118,9,0
2023-06-16 22:00:00+00:00,141.79,141.86,141.758,141.84,2394,9,0
2023-06-16 23:00:00+00:00,141.843,141.91,141.76,141.775,1030,9,0
2023-06-19 00:00:00+00:00,141.68,141.819,141.665,141.768,581,42,0
2023-06-19 01:00:00+00:00,141.768,141.93,141.768,141.854,1575,9,0
2023-06-19 02:00:00+00:00,141.854,141.95,141.852,141.859,1779,9,0
2023-06-19 03:00:00+00:00,141.858,141.966,141.77,141.949,3061,9,0
2023-06-19 04:00:00+00:00,141.951,141.951,141.804,141.882,2595,9,0
2023-06-19 05:00:00+00:00,141.882,141.947,141.808,141.847,1901,9,0
2023-06-19 06:00:00+00:00,141.848,141.867,141.512,141.527,3042,9,0
2023-06-19 07:00:00+00:00,141.528,141.705,141.437,141.491,3758,9,0
2023-06-19 08:00:00+00:00,141.491,141.655,141.458,141.65,2910,9,0
2023-06-19 09:00:00+00:00,141.65,141.707,141.588,141.666,2951,9,0
2023-06-19 10:00:00+00:00,141.666,141.945,141.638,141.844,3789,9,0
2023-06-19 11:00:00+00:00,141.843,141.867,141.75,141.862,2932,9,0
2023-06-19 12:00:00+00:00,141.862,141.989,141.858,141.976,2869,9,0
2023-06-19 13:00:00+00:00,141.976,141.997,141.799,141.851,2849,9,0
2023-06-19 14:00:00+00:00,141.851,141.974,141.805,141.841,2116,9,0
2023-06-19 15:00:00+00:00,141.841,141.923,141.772,141.871,2122,9,0
2023-06-19 16:00:00+00:00,141.866,141.891,141.735,141.742,2631,9,0
2023-06-19 17:00:00+00:00,141.742,141.873,141.656,141.822,2907,9,0
2023-06-19 18:00:00+00:00,141.823,141.908,141.81,141.9,1276,9,0
2023-06-19 19:00:00+00:00,141.901,141.954,141.888,141.927,1183,9,0
2023-06-19 20:00:00+00:00,141.926,141.94,141.903,141.94,679,9,0
2023-06-19 21:00:00+00:00,141.94,141.95,141.918,141.95,601,9,0
